Widget number,Position X,Position Y,Width,Height,Number of Child Nodes,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
000,331,4790,1241,59,1,1241.0,59.0,331.0,4790.0,0.0,0.0,0.0,0.0,
000,319,4865,1265,241,4,316.25,241.0,793.0,4865.0,0.5,0.0,407.95424580051457,0.0,
001,319,4865,316,241,1,292.0,241.0,331.0,4865.0,0.0,0.0,0.0,0.0,
001,635,4865,317,241,1,292.0,241.0,647.0,4865.0,0.0,0.0,0.0,0.0,
001,951,4865,316,241,1,292.0,241.0,963.0,4865.0,0.0,0.0,0.0,0.0,
001,1267,4865,316,241,1,292.0,241.0,1279.0,4865.0,0.0,0.0,0.0,0.0,
002,963,4865,292,241,2,146.0,130.5,481.5,4445.0,206.47518010647187,156.27059864222701,680.9438302826453,593.9696961966999,
