Widget number,Position X,Position Y,Width,Height,Table tag,List tag,Textbox tag,Widget class,Number of Elements,Number of Child Nodes,numberOfWordsTextNodes,numberOfTextNodes,links80percent,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
002,0,0,304,154,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,0,0,0,0,0,0,107,1,13,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,4,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
003,0,0,168,98,0,0,0,0,0,0,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
003,0,0,168,98,0,0,0,0,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
003,556,133,780,546,0,1,0,1,121,2,261,223,0,390.0,546.0,816.0,133.0,183.84776310850236,0.0,367.6955262170047,0.0,
003,556,133,520,546,0,1,0,1,116,7,252,214,0,200.85714285714286,117.85714285714286,512.0,251.85714285714286,96.98011578227188,141.82903860097264,369.7278278229361,235.68158503330193,
003,556,149,252,401,0,1,0,0,40,2,85,77,0,252.0,200.5,556.0,165.5,0.0,235.46655813512032,0.0,23.33452377915607,
003,556,149,252,34,0,0,0,0,3,1,6,6,0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,
003,556,182,252,367,0,1,0,0,35,1,76,68,0,245.0,367.0,556.0,182.0,0.0,0.0,0.0,0.0,
003,556,182,245,367,0,0,0,0,34,15,74,66,0,217.8,29.8,444.8,282.73333333333335,66.98848515123431,9.81398419166679,230.20587059660937,175.4225375106251,
003,556,182,245,37,0,0,0,0,2,1,5,5,0,245.0,37.0,556.0,182.0,0.0,0.0,0.0,0.0,
003,556,182,245,37,0,0,0,0,1,1,3,3,0,37.0,23.0,634.0,189.0,0.0,0.0,0.0,0.0,
003,634,189,37,23,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
003,556,219,245,30,0,0,0,0,1,1,4,3,0,245.0,30.0,556.0,219.0,0.0,0.0,0.0,0.0,
003,556,219,245,30,0,0,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
003,556,249,245,30,0,0,0,0,1,1,4,3,0,245.0,30.0,556.0,249.0,0.0,0.0,0.0,0.0,
003,556,249,245,30,0,0,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
003,556,279,245,30,0,0,0,0,1,1,3,3,0,245.0,30.0,556.0,279.0,0.0,0.0,0.0,0.0,
003,556,279,245,30,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
003,556,309,245,30,0,0,0,0,1,1,3,3,0,245.0,30.0,556.0,309.0,0.0,0.0,0.0,0.0,
003,556,309,245,30,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
003,556,339,245,30,0,0,0,0,1,1,3,3,0,245.0,30.0,556.0,339.0,0.0,0.0,0.0,0.0,
003,556,339,245,30,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
003,556,369,245,30,0,0,0,0,1,1,3,3,0,245.0,30.0,556.0,369.0,0.0,0.0,0.0,0.0,
003,556,369,245,30,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
