Widget number,Position X,Position Y,Width,Height,Number of Child Nodes,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
000,928,419,6,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001,948,419,6,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,968,419,6,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
004,0,2918,697,13,1,0.0,0.0,0.0,2918.0,0.0,0.0,0.0,0.0,
004,351,3909,1200,89,3,451.6666666666667,59.666666666666664,541.3333333333334,3589.3333333333335,393.38573097321836,4.618802153517007,650.5246600501271,581.3917210739531,
005,0,2918,175,65,2,0.0,0.0,0.0,2918.0,0.0,0.0,0.0,0.0,
005,361,3925,902,57,2,902.0,27.5,361.0,3946.0,0.0,17.67766952966369,0.0,29.698484809834994,
005,1263,3925,278,57,1,229.0,32.0,1312.0,3937.0,0.0,0.0,0.0,0.0,
006,361,3925,902,40,2,341.5,15.0,361.0,3935.0,154.8563850798539,2.8284271247461903,0.0,14.142135623730951,
006,361,3967,902,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
007,361,3945,232,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
007,361,3925,451,13,4,112.75,19.0,545.5,3922.0,38.52596527019148,0.0,168.2666534601157,0.0,
