Widget number,Position X,Position Y,Width,Height,Number of Child Nodes,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
001,1332,537,240,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
003,1332,565,240,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
005,1332,691,240,20,1,240.0,20.0,1332.0,691.0,0.0,0.0,0.0,0.0,
006,1332,691,240,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
008,1332,751,240,219,2,240.0,105.5,1332.0,820.0,0.0,34.64823227814083,0.0,97.58073580374356,
009,1332,751,240,130,6,40.0,22.333333333333332,1332.0,804.6666666666666,97.97958971132712,54.705270922157645,0.0,27.760883751542686,
009,1332,889,240,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
010,1332,816,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
010,1332,816,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
010,1332,816,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
010,1332,816,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
010,1332,816,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
010,1332,748,240,134,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,56,1030,1791,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,319,1030,1265,250,1,1241.0,250.0,331.0,1030.0,0.0,0.0,0.0,0.0,
014,331,1030,1241,250,1,970.0,250.0,466.0,1030.0,0.0,0.0,0.0,0.0,
015,466,1030,970,250,1,970.0,250.0,466.0,1030.0,0.0,0.0,0.0,0.0,
016,466,1030,970,250,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
