Widget number,Position X,Position Y,Width,Height,Number of Child Nodes,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
001,356,5563,300,160,1,300.0,160.0,356.0,5563.0,0.0,0.0,0.0,0.0,
002,356,5563,300,160,4,232.5,42.5,423.5,5588.0,135.0,28.722813232690143,135.0,37.859388972001824,
003,626,5563,30,20,1,75.0,18.0,581.0,5563.0,0.0,0.0,0.0,0.0,
003,356,5563,300,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
003,356,5583,300,50,1,0.0,0.0,0.0,4983.0,0.0,0.0,0.0,0.0,
003,356,5643,300,80,2,71.0,50.0,178.0,5313.0,100.40916292848975,70.71067811865476,251.7300141024109,466.6904755831214,
004,581,5563,75,18,2,32.5,11.5,593.5,5566.5,30.405591591021544,2.1213203435596424,10.606601717798213,0.7071067811865476,
005,586,5566,11,13,1,9.0,12.0,587.0,5566.0,0.0,0.0,0.0,0.0,
005,601,5567,54,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
007,356,5643,142,100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
007,0,4983,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
