Widget number,Position X,Position Y,Width,Height,Number of Child Nodes,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
000,1190,84,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
000,1190,90,20,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
000,1190,115,20,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
003,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
003,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
005,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
005,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
008,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
