Widget number,Position X,Position Y,Width,Height,Number of Child Nodes,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
000,1016,3467,300,64,1,300.0,64.0,1016.0,3467.0,0.0,0.0,0.0,0.0,
000,1016,3531,293,29,1,293.0,24.0,1016.0,3536.0,0.0,0.0,0.0,0.0,
001,1016,3467,300,64,3,201.66666666666666,28.333333333333332,1106.0,3473.3333333333335,149.19226968356415,14.433756729740644,155.88457268119896,10.969655114602888,
002,1286,3467,30,20,1,75.0,18.0,1241.0,3467.0,0.0,0.0,0.0,0.0,
002,1016,3467,300,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,1016,3486,275,45,1,0.0,0.0,0.0,2480.0,0.0,0.0,0.0,0.0,
003,1241,3467,75,18,2,32.5,11.5,1253.5,3470.5,30.405591591021544,2.1213203435596424,10.606601717798213,0.7071067811865476,
004,1246,3470,11,13,1,9.0,12.0,1247.0,3470.0,0.0,0.0,0.0,0.0,
004,1261,3471,54,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
006,0,2480,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
