Widget number,Position X,Position Y,Width,Height,Number of Child Nodes,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
000,948,419,6,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001,966,417,10,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,1501,3121,16,20,1,8.0,8.0,1505.0,3131.0,0.0,0.0,0.0,0.0,
002,1517,3121,16,20,1,4.0,4.0,1523.0,3133.0,0.0,0.0,0.0,0.0,
002,1533,3121,16,20,1,4.0,4.0,1539.0,3133.0,0.0,0.0,0.0,0.0,
003,1505,3131,8,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
