Widget number,Position X,Position Y,Width,Height,Number of Child Nodes,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
000,356,1268,224,247,1,224.0,227.0,356.0,1268.0,0.0,0.0,0.0,0.0,
000,356,1515,224,125,1,224.0,84.0,356.0,1536.0,0.0,0.0,0.0,0.0,
001,356,1268,224,227,4,156.25,57.25,405.75,1378.0,93.85227754295578,52.75335692320126,99.5,73.7744309816529,
002,555,1408,25,20,1,75.0,18.0,505.0,1408.0,0.0,0.0,0.0,0.0,
002,356,1268,224,127,1,224.0,127.0,356.0,1268.0,0.0,0.0,0.0,0.0,
002,356,1410,152,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,356,1426,224,69,1,0.0,0.0,0.0,560.0,0.0,0.0,0.0,0.0,
003,505,1408,75,18,2,32.5,11.5,517.5,1411.5,30.405591591021544,2.1213203435596424,10.606601717798213,0.7071067811865476,
004,510,1411,11,13,1,9.0,12.0,511.0,1411.0,0.0,0.0,0.0,0.0,
004,525,1412,54,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
006,356,1268,224,127,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
009,0,560,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
