Widget number,Position X,Position Y,Width,Height,Table tag,List tag,Textbox tag,Widget class,Number of Elements,Number of Child Nodes,numberOfWordsTextNodes,numberOfTextNodes,links80percent,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
002,375,497,68,16,0,0,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,375,520,147,22,0,0,0,0,2,1,9,5,0,147.0,22.0,375.0,520.0,0.0,0.0,0.0,0.0,
002,375,520,147,22,0,0,0,0,1,1,5,3,0,34.0,16.0,375.0,523.0,0.0,0.0,0.0,0.0,
002,375,523,34,16,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,543,194,180,275,0,0,0,0,10,3,50,20,0,102.33333333333333,12.0,558.0,288.3333333333333,89.36628745412519,10.583005244258363,0.0,122.23065627465695,
002,558,208,142,20,0,0,0,0,1,1,6,3,0,142.0,18.0,558.0,208.0,0.0,0.0,0.0,0.0,
002,558,208,142,18,0,0,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,558,228,0,0,0,0,0,0,4,4,17,9,0,118.25,19.0,558.0,266.5,59.44955845084133,5.773502691896257,0.0,28.431203515386635,
002,558,233,165,24,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,558,429,165,16,0,0,0,0,2,1,19,4,0,165.0,120.0,558.0,329.0,0.0,0.0,0.0,0.0,
002,558,329,165,120,0,0,0,0,1,1,15,2,0,0.0,19.0,706.0,331.0,0.0,0.0,0.0,0.0,
002,0,0,195,218,0,1,0,0,25,1,98,51,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,195,426,0,1,0,0,49,1,193,99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,380,296,0,1,0,0,48,1,200,97,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,195,218,0,1,0,0,25,1,101,51,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,380,322,0,1,0,0,49,1,206,99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,195,296,0,1,0,0,34,1,137,69,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,581,252,0,1,0,0,64,1,303,129,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,771,300,0,1,0,0,81,1,379,163,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,195,244,0,1,0,0,28,1,110,57,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,565,300,0,1,0,0,70,1,314,141,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,383,192,0,1,0,0,36,1,161,73,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,195,192,0,1,0,0,22,1,85,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,1903,38,0,0,0,0,0,0,5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,179,19,0,0,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,1903,171,0,0,0,0,0,0,42,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,300,250,0,0,0,0,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,194,19,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,1903,38,0,0,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,1903,57,0,0,0,0,0,0,11,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,300,154,0,0,0,0,173,1,1599,221,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,4,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
