Widget number,Position X,Position Y,Width,Height,Number of Child Nodes,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
000,291,85,18,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001,1844,62,9,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001,1844,76,50,20,1,8.0,4.0,1877.0,82.0,0.0,0.0,0.0,0.0,
001,1806,64,38,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001,1819,60,19,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
003,1877,82,8,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
006,192,68,126,26,2,74.5,10.0,193.0,74.0,70.0035713374682,14.142135623730951,0.0,0.0,
007,193,74,25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
007,193,74,124,20,1,8.0,4.0,296.0,80.0,0.0,0.0,0.0,0.0,
