Widget number,Position X,Position Y,Width,Height,Number of Child Nodes,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
000,0,2480,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001,686,3145,80,80,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001,0,2480,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,686,3269,300,250,1,300.0,250.0,686.0,3269.0,0.0,0.0,0.0,0.0,
003,686,3269,300,250,1,300.0,250.0,686.0,3269.0,0.0,0.0,0.0,0.0,
004,686,3269,300,250,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
006,1016,2750,300,401,1,300.0,380.0,1016.0,2750.0,0.0,0.0,0.0,0.0,
006,1016,3176,300,134,1,300.0,20.0,1016.0,3176.0,0.0,0.0,0.0,0.0,
006,1016,3335,300,107,1,300.0,86.0,1016.0,3335.0,0.0,0.0,0.0,0.0,
006,1016,3467,300,93,2,296.5,46.5,1016.0,3499.0,4.949747468305833,24.748737341529164,0.0,45.254833995939045,
007,1016,2750,300,380,2,157.5,197.5,508.0,2615.0,201.52543263816605,258.0939751330898,718.4204896855323,190.91883092036784,
008,1016,2750,300,380,3,123.33333333333333,160.0,338.6666666666667,2570.0,152.99782133525085,190.5255888325765,586.5878734966598,155.88457268119896,
008,0,2480,15,15,1,0.0,0.0,0.0,2480.0,0.0,0.0,0.0,0.0,
009,1016,2750,300,380,1,300.0,300.0,1016.0,2750.0,0.0,0.0,0.0,0.0,
009,0,2480,35,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
009,0,2480,35,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
010,1016,2750,300,300,1,300.0,378.0,1016.0,2750.0,0.0,0.0,0.0,0.0,
011,1016,2750,300,378,4,214.25,109.25,1083.5,2976.0,127.56272966662324,128.9996770021796,135.0,154.25519980430695,
012,1286,3064,30,20,1,75.0,18.0,1241.0,3064.0,0.0,0.0,0.0,0.0,
012,1016,2750,300,300,2,150.0,150.0,508.0,2615.0,212.13203435596427,212.13203435596427,718.4204896855323,190.91883092036784,
012,1016,3006,227,73,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
012,1016,3084,300,44,1,0.0,0.0,0.0,2480.0,0.0,0.0,0.0,0.0,
013,1241,3064,75,18,2,32.5,11.5,1253.5,3067.5,30.405591591021544,2.1213203435596424,10.606601717798213,0.7071067811865476,
014,1246,3067,11,13,1,9.0,12.0,1247.0,3067.0,0.0,0.0,0.0,0.0,
014,1261,3068,54,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
016,1016,2750,300,300,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
016,0,2480,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
