Widget number,Position X,Position Y,Width,Height,Number of Child Nodes,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
001,671,6944,79,86,2,79.0,31.5,671.0,6997.0,0.0,21.920310216782973,0.0,35.35533905932738,
002,671,6972,79,47,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,671,7022,79,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
005,750,6944,79,86,2,79.0,31.5,750.0,6997.0,0.0,21.920310216782973,0.0,35.35533905932738,
006,750,6972,79,47,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
006,750,7022,79,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
009,829,6944,79,86,2,79.0,31.5,829.0,6997.0,0.0,21.920310216782973,0.0,35.35533905932738,
010,829,6972,79,47,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
010,829,7022,79,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
