Widget number,Position X,Position Y,Width,Height,Number of Child Nodes,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
001,0,493,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,863,1236,173,181,4,136.0,47.25,900.0,1321.25,74.0,37.05289012569285,74.0,57.61003963430911,
003,1011,1343,25,20,1,18.0,18.0,1018.0,1343.0,0.0,0.0,0.0,0.0,
003,863,1236,173,97,1,173.0,97.0,863.0,1236.0,0.0,0.0,0.0,0.0,
003,863,1343,173,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
003,863,1363,173,54,1,0.0,0.0,0.0,493.0,0.0,0.0,0.0,0.0,
004,1018,1343,18,18,2,33.0,12.0,1029.5,1345.5,29.698484809834994,2.8284271247461903,10.606601717798213,0.7071067811865476,
005,1022,1345,12,14,1,10.0,13.0,1023.0,1345.0,0.0,0.0,0.0,0.0,
005,1037,1346,54,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
007,863,1236,173,97,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
010,0,493,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
011,864,1448,173,66,2,236.5,52.0,432.0,970.5,89.80256121069154,19.79898987322333,610.9402589451771,675.2869760331529,
011,864,1513,171,59,2,266.5,91.5,432.0,1003.0,135.0573952066306,45.96194077712559,610.9402589451771,721.2489168102785,
012,0,493,300,38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
012,864,1448,173,66,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
