Widget number,Position X,Position Y,Width,Height,Number of Child Nodes,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
007,201,99,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
007,0,99,534,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
007,0,-500,1,1,1,153.0,815.0,0.0,-499.0,0.0,0.0,0.0,0.0,
007,201,99,1500,300,2,1600.5,188.0,100.5,99.0,142.12846301849606,158.39191898578665,142.12846301849606,0.0,
007,0,99,1427,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
007,0,99,1964,342,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
007,201,399,1500,3355,15,1153.2666666666667,320.6,28.133333333333333,169.66666666666666,936.9546007195461,752.9072035402884,74.24367858291917,205.75528691928696,
007,0,99,1701,38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
007,0,99,900,203,1,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,
007,0,99,180,31,1,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,
007,0,99,604,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
007,201,3776,1500,0,1,1701.0,38.0,0.0,99.0,0.0,0.0,0.0,0.0,
008,0,99,1701,76,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
008,201,99,1500,300,1,1500.0,300.0,201.0,99.0,0.0,0.0,0.0,0.0,
009,201,99,1500,300,3,500.0,100.0,67.0,99.0,866.0254037844386,173.20508075688772,116.04740410711477,0.0,
010,0,99,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
010,201,99,1500,300,1,1500.0,300.0,201.0,99.0,0.0,0.0,0.0,0.0,
010,0,99,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
012,201,99,1500,300,3,553.3333333333334,300.0,674.3333333333334,99.0,819.8373822492686,0.0,819.8373822492686,0.0,
013,201,99,80,300,1,80.0,300.0,201.0,99.0,0.0,0.0,0.0,0.0,
013,201,99,1500,300,1,1500.0,300.0,201.0,99.0,0.0,0.0,0.0,0.0,
013,1621,99,80,300,1,80.0,300.0,1621.0,99.0,0.0,0.0,0.0,0.0,
014,201,99,80,300,1,34.0,52.0,224.0,223.0,0.0,0.0,0.0,0.0,
015,224,223,34,52,1,1.0,1.0,-9774.0,223.0,0.0,0.0,0.0,0.0,
016,-9774,223,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
017,201,99,1500,300,1,4500.0,300.0,-1298.0,99.0,0.0,0.0,0.0,0.0,
018,-1298,99,4500,300,3,1500.0,300.0,201.33333333333334,99.0,0.0,0.0,1499.5000277870397,0.0,
019,-1298,99,1500,300,1,1500.0,300.0,-1298.0,99.0,0.0,0.0,0.0,0.0,
019,201,99,1500,300,1,1500.0,300.0,201.0,99.0,0.0,0.0,0.0,0.0,
019,1701,99,1500,300,1,1500.0,300.0,1701.0,99.0,0.0,0.0,0.0,0.0,
020,1701,99,1500,300,2,1125.0,169.0,850.5,99.0,530.3300858899106,185.26197667087544,1202.7886347983174,0.0,
021,1701,99,1500,300,2,1130.5,188.0,850.5,99.0,522.5519112968586,158.39191898578665,1202.7886347983174,0.0,
021,0,99,750,38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
022,0,99,761,76,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
022,1701,99,1500,300,1,7500.0,300.0,-1298.0,99.0,0.0,0.0,0.0,0.0,
023,-1298,99,7500,300,1,1500.0,300.0,1701.0,99.0,0.0,0.0,0.0,0.0,
024,1701,99,1500,300,2,1500.0,150.0,1701.0,249.0,0.0,212.13203435596427,0.0,212.13203435596427,
025,1701,99,1500,300,1,1500.0,300.0,1701.0,99.0,0.0,0.0,0.0,0.0,
025,1701,399,1500,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
026,1701,99,1500,300,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
028,-1298,99,1500,300,1,1500.0,300.0,-1298.0,99.0,0.0,0.0,0.0,0.0,
029,201,99,1500,300,1,1500.0,300.0,201.0,99.0,0.0,0.0,0.0,0.0,
030,1644,223,34,52,1,1.0,1.0,-8354.0,223.0,0.0,0.0,0.0,0.0,
