Widget number,Position X,Position Y,Width,Height,Number of Child Nodes,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
000,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
003,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
004,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
006,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
007,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
009,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
010,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
012,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
015,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
016,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
018,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
021,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
022,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
024,510,150,75,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
024,0,0,195,426,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
