Widget number,Position X,Position Y,Width,Height,Number of Child Nodes,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
000,752,1745,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
000,752,1745,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
000,752,1745,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
000,752,1745,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
000,752,1745,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
000,752,1676,179,138,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,752,1832,398,90,2,191.0,79.5,849.5,1837.0,16.97056274847714,14.849242404917497,137.88582233137677,7.0710678118654755,
002,0,1434,0,20,1,0.0,0.0,0.0,1434.0,0.0,0.0,0.0,0.0,
003,752,1832,179,90,6,29.833333333333332,23.0,752.0,1865.5,73.07644399303148,56.3382640840131,0.0,28.16913204200655,
003,947,1842,203,69,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
004,752,1877,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
004,752,1877,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
004,752,1877,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
004,752,1877,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
004,752,1877,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
004,752,1808,179,138,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
007,752,1964,398,46,1,398.0,46.0,752.0,1964.0,0.0,0.0,0.0,0.0,
007,0,1434,0,20,1,0.0,0.0,0.0,1434.0,0.0,0.0,0.0,0.0,
008,752,1964,398,46,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
010,752,2096,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
010,752,2096,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
010,752,2096,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
010,752,2096,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
010,752,2096,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
010,752,2027,179,138,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
012,752,2183,398,90,2,191.0,79.5,849.5,2188.0,16.97056274847714,14.849242404917497,137.88582233137677,7.0710678118654755,
012,0,1434,0,20,1,0.0,0.0,0.0,1434.0,0.0,0.0,0.0,0.0,
013,752,2183,179,90,6,29.833333333333332,23.0,752.0,2216.5,73.07644399303148,56.3382640840131,0.0,28.16913204200655,
013,947,2193,203,69,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
014,752,2228,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
014,752,2228,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
014,752,2228,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
014,752,2228,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
014,752,2228,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
014,752,2159,179,138,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
017,752,2315,398,46,1,398.0,46.0,752.0,2315.0,0.0,0.0,0.0,0.0,
017,0,1434,0,20,1,0.0,0.0,0.0,1434.0,0.0,0.0,0.0,0.0,
018,752,2315,398,46,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
020,752,2402,398,90,2,191.0,79.5,849.5,2407.0,16.97056274847714,14.849242404917497,137.88582233137677,7.0710678118654755,
020,0,1434,0,20,1,0.0,0.0,0.0,1434.0,0.0,0.0,0.0,0.0,
021,752,2402,179,90,6,29.833333333333332,23.0,752.0,2435.5,73.07644399303148,56.3382640840131,0.0,28.16913204200655,
021,947,2412,203,69,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
