Widget number,Position X,Position Y,Width,Height,Number of Child Nodes,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
000,926,417,10,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001,948,419,6,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,968,419,6,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
004,351,2198,1200,378,2,735.5,148.0,351.0,2254.5,641.3458505361986,165.46298679765212,0.0,37.476659402887016,
005,351,2228,282,31,1,274.0,31.0,359.0,2228.0,0.0,0.0,0.0,0.0,
005,351,2281,1189,265,2,582.0,250.0,659.5,2281.0,0.0,0.0,422.14274836836887,0.0,
006,361,2281,582,250,2,275.0,250.0,522.0,2281.0,21.213203435596427,0.0,227.6883835420683,0.0,
006,958,2281,582,250,2,275.0,250.0,1119.0,2281.0,21.213203435596427,0.0,227.6883835420683,0.0,
