Widget number,Position X,Position Y,Width,Height,Number of Child Nodes,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
002,560,220,218,31,1,95.0,22.0,584.0,224.0,0.0,0.0,0.0,0.0,
003,584,224,95,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
005,779,97,220,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
005,779,134,220,22,1,220.0,22.0,779.0,134.0,0.0,0.0,0.0,0.0,
005,779,156,220,22,1,220.0,22.0,779.0,156.0,0.0,0.0,0.0,0.0,
005,779,178,220,22,1,220.0,22.0,779.0,178.0,0.0,0.0,0.0,0.0,
005,779,200,220,22,1,220.0,22.0,779.0,200.0,0.0,0.0,0.0,0.0,
005,779,222,220,22,1,220.0,22.0,779.0,222.0,0.0,0.0,0.0,0.0,
005,779,244,220,22,1,220.0,22.0,779.0,244.0,0.0,0.0,0.0,0.0,
005,779,266,220,22,1,220.0,22.0,779.0,266.0,0.0,0.0,0.0,0.0,
005,779,288,220,22,1,220.0,22.0,779.0,288.0,0.0,0.0,0.0,0.0,
005,779,310,220,22,1,220.0,22.0,779.0,310.0,0.0,0.0,0.0,0.0,
005,779,332,220,22,1,220.0,22.0,779.0,332.0,0.0,0.0,0.0,0.0,
005,779,354,220,22,1,220.0,22.0,779.0,354.0,0.0,0.0,0.0,0.0,
005,779,376,220,22,1,220.0,22.0,779.0,376.0,0.0,0.0,0.0,0.0,
005,779,398,220,22,1,220.0,22.0,779.0,398.0,0.0,0.0,0.0,0.0,
