Widget number,Position X,Position Y,Width,Height,Number of Child Nodes,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
000,0,4481,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001,0,4481,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,331,5200,240,27,1,240.0,27.0,331.0,5200.0,0.0,0.0,0.0,0.0,
002,1387,5208,184,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
003,331,5200,240,27,1,240.0,27.0,331.0,5200.0,0.0,0.0,0.0,0.0,
004,331,5200,240,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
007,332,5244,412,228,3,368.6666666666667,154.0,338.0,5299.666666666667,76.79409699536373,72.0832851637604,11.269427669584644,78.1430312525265,
008,332,5244,412,228,6,68.66666666666667,38.333333333333336,332.0,5338.833333333333,168.19829567111157,93.89710680668848,0.0,46.94855340334424,
008,351,5266,280,150,1,40.0,42.0,352.0,5266.0,0.0,0.0,0.0,0.0,
008,331,5389,414,84,2,336.5,26.0,351.0,5412.0,53.033008588991066,16.97056274847714,0.0,12.727922061357855,
009,1159,5244,412,228,3,368.6666666666667,154.0,1165.0,5299.666666666667,76.79409699536373,72.0832851637604,11.269427669584644,78.1430312525265,
010,1159,5244,412,228,6,68.66666666666667,38.333333333333336,1159.0,5338.833333333333,168.19829567111157,93.89710680668848,0.0,46.94855340334424,
010,1178,5266,280,150,1,40.0,33.0,1180.0,5268.0,0.0,0.0,0.0,0.0,
010,1158,5389,414,84,2,336.5,26.0,1178.0,5412.0,53.033008588991066,16.97056274847714,0.0,12.727922061357855,
