Widget number,Position X,Position Y,Width,Height,Number of Child Nodes,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
003,-5709,48,1903,315,1,1903.0,315.0,-5709.0,48.0,0.0,0.0,0.0,0.0,
004,-3806,48,1903,315,1,1903.0,315.0,-3806.0,48.0,0.0,0.0,0.0,0.0,
005,-1903,48,1903,315,1,1903.0,315.0,-1903.0,48.0,0.0,0.0,0.0,0.0,
006,0,48,1903,315,1,1903.0,315.0,0.0,48.0,0.0,0.0,0.0,0.0,
007,1903,48,1903,315,1,1903.0,315.0,1903.0,48.0,0.0,0.0,0.0,0.0,
008,3806,48,1903,315,1,700.0,303.0,4407.0,48.0,0.0,0.0,0.0,0.0,
009,5709,48,1903,315,1,700.0,303.0,6310.0,48.0,0.0,0.0,0.0,0.0,
010,7612,48,1903,315,1,700.0,303.0,8213.0,48.0,0.0,0.0,0.0,0.0,
011,9515,48,1903,315,1,1903.0,315.0,9515.0,48.0,0.0,0.0,0.0,0.0,
012,11418,48,1903,315,1,700.0,303.0,12019.0,48.0,0.0,0.0,0.0,0.0,
013,13321,48,1903,315,1,700.0,303.0,13922.0,48.0,0.0,0.0,0.0,0.0,
014,15224,48,1903,315,1,1903.0,315.0,15224.0,48.0,0.0,0.0,0.0,0.0,
015,17127,48,1903,315,1,1903.0,315.0,17127.0,48.0,0.0,0.0,0.0,0.0,
016,19030,48,1903,315,1,700.0,303.0,19631.0,48.0,0.0,0.0,0.0,0.0,
017,20933,48,1903,315,1,700.0,303.0,21534.0,48.0,0.0,0.0,0.0,0.0,
018,22836,48,1903,315,1,700.0,303.0,23437.0,48.0,0.0,0.0,0.0,0.0,
019,24739,48,1903,315,1,1903.0,315.0,24739.0,48.0,0.0,0.0,0.0,0.0,
020,26642,48,1903,315,1,1903.0,315.0,26642.0,48.0,0.0,0.0,0.0,0.0,
021,28545,48,1903,315,1,700.0,303.0,29146.0,48.0,0.0,0.0,0.0,0.0,
022,30448,48,1903,315,1,1903.0,315.0,30448.0,48.0,0.0,0.0,0.0,0.0,
023,32351,48,1903,315,1,1903.0,315.0,32351.0,48.0,0.0,0.0,0.0,0.0,
024,34254,48,1903,315,1,1903.0,315.0,34254.0,48.0,0.0,0.0,0.0,0.0,
025,36157,48,1903,315,1,1903.0,315.0,36157.0,48.0,0.0,0.0,0.0,0.0,
026,38060,48,1903,315,1,1903.0,315.0,38060.0,48.0,0.0,0.0,0.0,0.0,
027,39963,48,1903,315,1,1903.0,315.0,39963.0,48.0,0.0,0.0,0.0,0.0,
028,653,367,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
029,677,367,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
030,701,367,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
031,725,367,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
032,749,367,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
033,773,367,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
034,797,367,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
035,821,367,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
036,845,367,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
037,869,367,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
038,893,367,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
039,917,367,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
040,941,367,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
041,965,367,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
042,989,367,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
043,1013,367,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
044,1037,367,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
045,1061,367,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
046,1085,367,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
047,1109,367,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
048,1133,367,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
049,1157,367,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
050,1181,367,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
051,1205,367,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
052,1229,367,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
054,0,1170,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
055,0,1170,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
056,0,1170,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
057,0,1170,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
060,0,1170,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
061,0,1170,0,0,1,0.0,0.0,0.0,1170.0,0.0,0.0,0.0,0.0,
064,0,1170,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
067,0,1170,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
070,0,1170,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
073,0,1170,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
076,0,1170,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
