Widget number,Position X,Position Y,Width,Height,Number of Child Nodes,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
000,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
000,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
000,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
000,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
000,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
000,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
000,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
000,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
003,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
003,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
004,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
004,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
005,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
005,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
005,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
006,511,68,124,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
