Widget number,Position X,Position Y,Width,Height,Table tag,List tag,Textbox tag,Widget class,Number of Elements,Number of Child Nodes,numberOfWordsTextNodes,numberOfTextNodes,links80percent,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
006,1190,77,0,20,0,0,0,0,3,3,36,6,0,13.333333333333334,12.666666666666666,1190.0,96.33333333333333,11.547005383792516,10.969655114602888,0.0,16.441816606851365,
006,1190,90,20,19,0,0,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
006,1190,115,20,19,0,0,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
006,1265,43,16,20,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
007,1542,37,30,38,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
007,461,37,346,40,0,1,0,1,1004,5,2798,619,0,69.2,40.0,594.6,37.0,14.939879517586478,0.0,112.21541783551848,0.0,
007,0,0,0,0,0,0,0,1,32,2,20,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
007,0,0,0,0,0,0,0,1,32,2,23,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
007,580,37,95,40,0,1,0,1,353,2,666,154,0,377.0,269.0,570.0,56.0,398.8082245892128,323.85490578343877,14.142135623730951,26.870057685088806,
007,580,37,95,40,0,0,0,1,5,1,1,1,0,95.0,40.0,580.0,37.0,0.0,0.0,0.0,0.0,
007,580,37,95,40,0,0,0,1,4,2,1,1,0,35.0,25.5,607.5,37.0,28.284271247461902,2.1213203435596424,38.890872965260115,0.0,
007,580,37,55,27,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
007,560,75,659,498,0,1,0,1,346,2,665,153,0,659.0,249.0,560.0,324.0,0.0,352.13917703090067,0.0,352.13917703090067,
007,560,75,218,413,0,0,0,0,37,12,107,12,0,218.0,31.0,560.0,266.5,0.0,0.0,0.0,111.77208953938367,
007,560,96,218,31,0,0,0,0,2,2,86,1,0,41.0,15.0,594.5,104.5,53.74011537017761,9.899494936611665,7.7781745930520225,6.363961030678928,
007,779,97,220,1256,0,0,0,1,32,2,23,11,0,220.0,128.5,779.0,115.5,0.0,129.4005409571382,0.0,26.16295090390226,
007,0,124,1903,5728,1,1,1,1,1460,5,1600,193,0,1453.8,1118.8,138.8,560.0,372.11987315917435,1912.1844053333348,166.08040221531255,591.0820586010034,
008,461,37,59,40,0,1,0,1,336,2,1125,239,0,359.0,214.0,451.0,56.0,424.26406871192853,246.07315985291854,14.142135623730951,26.870057685088806,
008,441,75,659,388,0,1,0,1,329,2,1124,238,0,659.0,194.0,441.0,269.0,0.0,274.35743110038044,0.0,274.35743110038044,
008,441,75,218,196,0,0,0,0,16,5,94,5,0,218.0,31.0,441.0,158.0,0.0,0.0,0.0,49.01530373260988,
008,441,96,218,31,0,0,0,0,2,2,86,1,0,41.0,15.0,475.5,104.5,53.74011537017761,9.899494936611665,7.7781745930520225,6.363961030678928,
008,0,0,659,300,0,1,0,1,284,2,1001,221,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
008,0,0,230,104,0,1,0,1,9,2,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
008,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
009,461,37,59,40,0,0,0,1,5,1,1,1,0,59.0,40.0,461.0,37.0,0.0,0.0,0.0,0.0,
009,461,37,59,40,0,0,0,1,4,2,1,1,0,17.0,25.5,470.5,37.0,2.8284271247461903,2.1213203435596424,13.435028842544403,0.0,
009,461,37,19,27,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
009,480,37,15,24,0,0,0,0,2,1,0,0,0,15.0,10.0,483.0,50.0,0.0,0.0,0.0,0.0,
009,441,75,659,388,0,1,0,1,327,3,1124,238,0,219.66666666666666,631.0,660.0,75.0,1.5275252316519468,595.7356796432458,219.50170842159747,0.0,
009,441,96,218,31,0,0,0,0,3,1,86,1,0,218.0,31.0,441.0,96.0,0.0,0.0,0.0,0.0,
009,481,100,79,22,0,0,0,0,0,0,86,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
009,441,158,218,31,0,0,0,0,2,1,2,1,0,218.0,31.0,441.0,158.0,0.0,0.0,0.0,0.0,
009,441,158,218,31,0,0,0,0,1,1,2,1,0,32.0,22.0,465.0,162.0,0.0,0.0,0.0,0.0,
009,659,75,221,387,0,0,0,1,164,5,111,56,0,44.0,1260.4,836.0,163.0,98.38699100999075,54.77955823115042,98.38699100999075,66.0,
009,660,134,220,220,0,0,0,0,30,10,18,10,0,220.0,22.0,660.0,233.0,0.0,0.0,0.0,66.6083077901448,
009,660,266,220,22,0,0,0,0,2,1,1,1,0,220.0,22.0,660.0,266.0,0.0,0.0,0.0,0.0,
009,660,266,220,22,0,0,0,0,1,1,1,1,0,44.0,19.0,680.0,267.0,0.0,0.0,0.0,0.0,
009,880,97,0,1344,0,0,0,1,43,15,30,15,0,1.3333333333333333,23.0,880.0,265.0,5.163977794943222,3.872983346207417,0.0,100.12492197250393,
