Widget number,Position X,Position Y,Width,Height,Number of Child Nodes,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
000,0,0,1903,4598,31,976.8387096774194,221.74193548387098,-32251.58064516129,-32011.25806451613,851.4130253789555,681.2192974239615,179606.50900635982,179653.57276565506,
000,0,0,1903,38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
000,0,0,1903,38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
000,0,0,1903,38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
000,0,0,355,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
000,0,0,317,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
000,0,0,807,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
000,0,0,319,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
000,0,0,1903,38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
000,0,0,1903,38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
000,0,0,1903,57,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
000,0,0,1903,38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
000,0,4598,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
000,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001,0,0,2199,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001,0,0,335,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001,0,0,1903,95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001,0,0,350,380,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001,0,0,1903,38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001,0,0,1903,38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001,0,0,203,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001,0,0,1903,57,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001,0,0,332,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001,0,0,2070,304,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
