Widget number,Position X,Position Y,Width,Height,Number of Child Nodes,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
000,739,150,85,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
000,0,0,380,322,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
003,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
004,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
005,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
005,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
005,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
005,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
005,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
005,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
005,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
005,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
005,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
005,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
005,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
006,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
007,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
009,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
010,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
012,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
015,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
016,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
018,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
021,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
022,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
024,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
025,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
027,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
028,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
030,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
031,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
033,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
034,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
036,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
037,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
039,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
040,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
040,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
042,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
042,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
042,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
042,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
043,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
045,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
047,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
049,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
051,826,150,57,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
