Widget number,Position X,Position Y,Width,Height,Number of Child Nodes,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
000,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
003,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
004,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
005,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
006,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
007,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
008,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
009,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
010,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
011,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
012,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
014,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
015,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
016,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
017,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
018,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
020,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
021,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
022,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
024,311,133,520,546,7,213.57142857142858,118.57142857142857,337.0,235.42857142857142,94.38901267777787,127.10475619589948,259.5451148965564,227.5154625828445,
024,831,133,260,546,1,260.0,546.0,831.0,133.0,0.0,0.0,0.0,0.0,
025,0,0,235,51,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
025,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
025,311,149,252,347,2,252.0,173.5,311.0,165.5,0.0,197.28279195104676,0.0,23.33452377915607,
025,311,528,252,34,1,252.0,34.0,311.0,528.0,0.0,0.0,0.0,0.0,
025,579,149,252,93,2,252.0,47.0,579.0,165.5,0.0,18.384776310850235,0.0,23.33452377915607,
025,579,274,252,242,2,252.0,121.0,579.0,305.0,0.0,83.43860018001261,0.0,43.840620433565945,
025,579,548,252,63,2,252.0,32.0,579.0,564.5,0.0,2.8284271247461903,0.0,23.33452377915607,
026,311,149,252,34,1,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,
