Widget number,Position X,Position Y,Width,Height,Number of Child Nodes,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
002,560,437,218,31,1,111.0,22.0,584.0,441.0,0.0,0.0,0.0,0.0,
003,584,441,111,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
006,779,134,220,22,1,71.0,19.0,799.0,135.0,0.0,0.0,0.0,0.0,
007,799,135,71,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
009,779,156,220,22,1,71.0,19.0,799.0,157.0,0.0,0.0,0.0,0.0,
010,799,157,71,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
012,779,178,220,22,1,37.0,19.0,799.0,179.0,0.0,0.0,0.0,0.0,
013,799,179,37,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
015,779,200,220,22,1,27.0,19.0,799.0,201.0,0.0,0.0,0.0,0.0,
016,799,201,27,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
018,779,222,220,22,1,52.0,19.0,799.0,223.0,0.0,0.0,0.0,0.0,
019,799,223,52,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
021,779,244,220,22,1,63.0,19.0,799.0,245.0,0.0,0.0,0.0,0.0,
022,799,245,63,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
024,779,266,220,22,1,50.0,19.0,799.0,267.0,0.0,0.0,0.0,0.0,
025,799,267,50,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
027,779,288,220,22,1,110.0,19.0,799.0,289.0,0.0,0.0,0.0,0.0,
028,799,289,110,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
030,779,310,220,22,1,25.0,19.0,799.0,311.0,0.0,0.0,0.0,0.0,
031,799,311,25,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
033,779,332,220,22,1,19.0,19.0,799.0,333.0,0.0,0.0,0.0,0.0,
034,799,333,19,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
